key	sus	vr	date
robertbohnsack2020	70.15	0	06-08-2020
kevindoehl2020	70.4	1	15-09-2020
lennartkipka2020	74	0	13-10-2020
davidwagner2020	80	0	11-09-2020
davidwagner2020	65.83	1	11-09-2020
hannesmasuch2020	64.7	0	16-12-2020
rubensmidt2021	72.5	0	14-06-2021
rubensmidt2021	69.1	1	14-06-2021
yannisrohloff2021	78.8	0	23-08-2021
galperin2021	67.38	0	27-09-2021
nicoweiser2021	68.61	0	02-11-2021
sulanabubakarov2021	72.5	0	06-12-2021
felixgaebler2021	71.53	0	30-12-2021
moritz	68.75	0	31-01-2021
maximilianwick2022	67.32	0	29-12-2022
michelkrause2024	82.32	0	26-03-2024
rohlfing2024	76.4	0	01-08-2023
